"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Signals Opensearch leader process and checks recovery + re-election.","85143","test_signal_opensearch_process_cluster_https[SIGKILL]","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","78537","test_signal_dashboard_process_cluster[SIGTERM]","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_process_interrupt","",""
"Deploy OpenSearch and OpenSearch Dashboards but don't wait for completion.","4905","test_deploy","tests.integration","2026-01-26","passed","2026-01-26","","test_oauth","",""
"Test HTTP access to each dashboard unit.","2050","test_dashboard_access_https","tests.integration.spaces","2026-01-26","passed","2026-01-26","","test_wrong_etc_hosts","",""
"Signals OSD leader process and checks recovery + re-election.","79264","test_signal_opensearch_process_leader_https[SIGKILL]","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_process_interrupt","",""
"Signals Opensearch leader process and checks recovery + re-election.","0","test_sigstop_opensearch_process_cluster_https","tests.integration.ha","2026-01-26","skipped","2026-01-26","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","79255","test_signal_dashboard_process_leader_https[SIGKILL]","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_process_interrupt","",""
"Testing that newly added units are functional with TLS on.","355604","test_horizontal_scale_up_https","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_scaling","",""
"","896862","test_network_cut_ip_change_application_http","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_network_cut","",""
"Signals OSD leader process and checks recovery + re-election.","79265","test_signal_dashboard_process_cluster_https[SIGTERM]","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_process_interrupt","",""
"Test HTTP access to each dashboard unit.","1197","test_dashboard_access_http","tests.integration.spaces","2026-01-26","passed","2026-01-26","","test_wrong_etc_hosts","",""
"Testing that decreasing units keeps functionality with TLS on.","40529","test_horizontal_scale_down_https","tests.integration.ha","2026-01-26","passed","2026-01-26","","test_scaling","",""
