"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Signals OSD leader process and checks recovery + re-election.","93216","test_signal_dashboard_process_cluster_https[SIGSTOP]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","78573","test_signal_opensearch_process_leader[SIGTERM]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"Testing that newly added units are functional with TLS on.","325310","test_horizontal_scale_up_https","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_scaling","",""
"Signals OSD leader process and checks recovery + re-election.","79245","test_signal_dashboard_process_leader_https[SIGTERM]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"","521429","test_network_cut_ip_change_leader_http","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_network_cut","",""
"Signals Opensearch leader process and checks recovery + re-election.","78586","test_signal_opensearch_process_cluster[SIGTERM]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"Ensure that SSO works for OpenSearch Dashboards login.","4403","test_oauth[chromium]","tests.integration","2026-01-17","passed","2026-01-17","","test_oauth","",""
"Test HTTPS access to each dashboard unit.","847238","test_dashboard_status_changes","tests.integration","2026-01-17","passed","2026-01-17","","test_charm","",""
"Test access to dashboard unit with JWT and basic auth.","124464","test_dashboard_access","tests.integration","2026-01-17","passed","2026-01-17","","test_jwt_auth","",""
"Signals OSD leader process and checks recovery + re-election.","79259","test_signal_opensearch_process_leader_https[SIGKILL]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"Signals OSD leader process and checks recovery + re-election.","93188","test_signal_dashboard_process_cluster_https[SIGKILL]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"Testing that scaling up from zero units using TLS works.","340374","test_horizontal_scale_up_from_zero_https","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_scaling","",""
"","153239","test_network_cut_no_ip_change_leader_https","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_network_cut","",""
"Signals OSD leader process and checks recovery + re-election.","93984","test_signal_dashboard_process_cluster[SIGKILL]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
"","908625","test_network_cut_ip_change_application_http","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_network_cut","",""
"Signals Opensearch leader process and checks recovery + re-election.","0","test_sigstop_opensearch_process_leader","tests.integration.ha","2026-01-17","skipped","2026-01-17","","test_process_interrupt","",""
"Test HTTPS access to each dashboard unit.","7674","test_dashboard_client_data_access_https","tests.integration","2026-01-17","passed","2026-01-17","","test_charm","",""
"Signals OSD leader process and checks recovery + re-election.","96736","test_signal_dashboard_process_leader[SIGSTOP]","tests.integration.ha","2026-01-17","passed","2026-01-17","","test_process_interrupt","",""
